"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Jun-2023","EQ","936.60","950.50","935.20","940.20","938.95","937.90","943.61","958.85","669.95","17,608,140","16,615,268,439.75","191,521"
"07-Jun-2023","EQ","944.35","945.85","933.80","942.10","940.00","940.20","937.88","958.85","669.95","16,486,469","15,462,369,201.45","201,193"
"06-Jun-2023","EQ","946.50","947.80","938.10","946.75","942.60","942.10","941.11","958.85","669.95","11,894,330","11,193,869,092.55","140,147"
"05-Jun-2023","EQ","943.00","951.80","943.00","938.15","947.00","946.75","948.39","958.85","669.95","10,751,684","10,196,745,923.25","124,104"
"02-Jun-2023","EQ","943.00","944.65","935.05","936.10","936.60","938.15","939.61","958.85","669.95","12,494,376","11,739,902,972.45","202,054"
"01-Jun-2023","EQ","954.25","954.25","932.80","949.15","936.45","936.10","946.03","958.85","669.95","21,650,700","20,482,235,167.70","199,559"
"31-May-2023","EQ","949.50","952.00","940.50","949.95","951.30","949.15","946.37","958.85","669.95","27,254,425","25,792,657,193.20","196,047"
"30-May-2023","EQ","945.35","952.30","944.65","948.15","951.35","949.95","948.19","958.85","669.95","18,483,624","17,525,924,428.00","165,705"
"29-May-2023","EQ","953.85","957.60","946.80","950.70","948.15","948.15","951.73","958.85","669.95","12,108,079","11,523,605,997.05","154,665"
"26-May-2023","EQ","939.80","952.45","935.55","939.85","950.50","950.70","944.90","958.85","669.95","10,957,182","10,353,399,956.05","116,316"
"25-May-2023","EQ","937.00","941.60","932.95","940.65","939.40","939.85","937.68","958.85","669.95","19,328,582","18,124,113,002.95","165,933"
"24-May-2023","EQ","946.70","953.85","938.50","953.40","941.10","940.65","948.39","958.85","669.95","18,049,620","17,118,111,862.45","156,440"
"23-May-2023","EQ","952.00","958.85","945.00","950.35","951.00","953.40","954.55","958.85","669.95","16,579,935","15,826,384,807.30","179,712"
"22-May-2023","EQ","951.05","954.25","946.15","954.30","948.50","950.35","950.48","958.20","669.95","15,509,525","14,741,519,452.50","174,326"
"19-May-2023","EQ","951.45","956.00","941.60","946.50","954.00","954.30","948.41","958.20","669.95","15,427,412","14,631,454,419.20","256,936"
