Date,series,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01-Jun-23,EQ,954.25,954.25,932.8,949.15,936.45,936.1,946.03,958.85,669.95,"2,16,50,700","20,48,22,35,167.70","1,99,559"
31-May-23,EQ,949.5,952,940.5,949.95,951.3,949.15,946.37,958.85,669.95,"2,72,54,425","25,79,26,57,193.20","1,96,047"
30-May-23,EQ,945.35,952.3,944.65,948.15,951.35,949.95,948.19,958.85,669.95,"1,84,83,624","17,52,59,24,428.00","1,65,705"
29-May-23,EQ,953.85,957.6,946.8,950.7,948.15,948.15,951.73,958.85,669.95,"1,21,08,079","11,52,36,05,997.05","1,54,665"
26-May-23,EQ,939.8,952.45,935.55,939.85,950.5,950.7,944.9,958.85,669.95,"1,09,57,182","10,35,33,99,956.05","1,16,316"
25-May-23,EQ,937,941.6,932.95,940.65,939.4,939.85,937.68,958.85,669.95,"1,93,28,582","18,12,41,13,002.95","1,65,933"
24-May-23,EQ,946.7,953.85,938.5,953.4,941.1,940.65,948.39,958.85,669.95,"1,80,49,620","17,11,81,11,862.45","1,56,440"
23-May-23,EQ,952,958.85,945,950.35,951,953.4,954.55,958.85,669.95,"1,65,79,935","15,82,63,84,807.30","1,79,712"
22-May-23,EQ,951.05,954.25,946.15,954.3,948.5,950.35,950.48,958.2,669.95,"1,55,09,525","14,74,15,19,452.50","1,74,326"
19-May-23,EQ,951.45,956,941.6,946.5,954,954.3,948.41,958.2,669.95,"1,54,27,412","14,63,14,54,419.20","2,56,936"
18-May-23,EQ,947.95,952.25,942.1,939.35,946.5,946.5,947.09,958.2,669.95,"2,15,50,141","20,40,98,47,199.75","2,09,338"
17-May-23,EQ,947.3,948.4,935.8,946.35,942.4,939.35,941.45,958.2,669.95,"1,92,73,344","18,14,49,12,091.25","2,49,139"
16-May-23,EQ,950,952.2,943,945.75,944.3,946.35,948.71,958.2,669.95,"1,96,12,293","18,60,63,05,163.90","2,26,076"
15-May-23,EQ,943.75,949,938.2,943.9,944.15,945.75,944.97,958.2,669.95,"1,04,53,762","9,87,84,68,196.25","1,64,481"
12-May-23,EQ,939.75,948,935.1,939.2,943.5,943.9,940.76,958.2,669.95,"1,38,73,480","13,05,15,98,098.95","1,97,789"
11-May-23,EQ,940.05,947,933.85,936.05,939.65,939.2,940.72,958.2,669.95,"2,00,27,372","18,84,01,64,285.90","2,13,605"
10-May-23,EQ,934.6,941,928.25,934.4,936.6,936.05,933.75,958.2,669.95,"2,59,10,923","24,19,42,53,986.15","2,10,957"
09-May-23,EQ,941,945,931.8,937.9,934,934.4,939.45,958.2,669.95,"2,15,07,610","20,20,52,19,030.00","1,97,816"
08-May-23,EQ,927,941.7,927,926.95,937.85,937.9,938.29,958.2,669.95,"1,86,23,913","17,47,45,48,902.45","1,73,542"
05-May-23,EQ,925,942.45,923.45,921.7,927,926.95,933.17,958.2,669.95,"1,90,02,035","17,73,21,72,083.15","2,33,042"
04-May-23,EQ,920,923.9,911.8,922.85,920.1,921.7,917.17,958.2,669.95,"2,04,85,002","18,78,82,28,239.40","1,82,779"
03-May-23,EQ,919.55,923.85,911.55,922.1,921.7,922.85,917.93,958.2,669.95,"1,87,15,142","17,17,92,60,633.20","1,93,633"
02-May-23,EQ,924,925.8,918.7,917.65,921.95,922.1,922.52,958.2,669.95,"1,75,15,017","16,15,80,17,786.15","1,71,814"
28-Apr-23,EQ,915.1,920.45,910.25,918.35,919.3,917.65,914.7,958.2,669.95,"2,03,81,002","18,64,24,98,731.80","2,06,736"
27-Apr-23,EQ,909.5,919.9,908.55,914.95,917.6,918.35,915.76,958.2,669.95,"2,58,35,108","23,65,87,35,545.70","2,01,239"
26-Apr-23,EQ,911.45,916.95,905.75,913.45,916,914.95,911.65,958.2,669.95,"3,03,71,555","27,68,83,22,157.80","2,03,559"
25-Apr-23,EQ,906.3,916,903.1,904.75,913.2,913.45,910.82,958.2,669.95,"4,13,83,839","37,69,30,89,217.55","3,48,026"
24-Apr-23,EQ,905,906.5,895,885.65,905.3,904.75,901.44,958.2,669.95,"3,08,81,665","27,83,78,92,551.70","3,14,794"
21-Apr-23,EQ,894.55,900.7,882.4,894.4,887.6,885.65,892.06,958.2,669.95,"2,95,78,071","26,38,55,57,760.90","1,91,343"
20-Apr-23,EQ,892.25,899.3,889.2,891.9,894.1,894.4,893.52,958.2,669.95,"1,69,99,919","15,18,98,25,560.90","1,42,458"
19-Apr-23,EQ,895.9,896.9,887.25,896.85,892.1,891.9,891.12,958.2,669.95,"2,43,77,956","21,72,36,99,310.75","1,86,782"
18-Apr-23,EQ,907.95,907.95,894.1,901.3,896,896.85,900.06,958.2,669.95,"2,66,99,379","24,03,09,81,838.10","2,11,374"
17-Apr-23,EQ,917.3,917.3,893.15,899,899.6,901.3,900.34,958.2,669.95,"2,99,57,514","26,97,19,74,096.80","2,18,944"
13-Apr-23,EQ,891.1,901.65,886.5,890.15,898,899,893.75,958.2,669.95,"3,44,39,635","30,78,02,77,208.20","2,27,426"
12-Apr-23,EQ,883.45,892,880.3,881.9,891,890.15,885.61,958.2,669.95,"2,26,86,032","20,09,09,85,489.55","1,74,718"
11-Apr-23,EQ,873.7,885.6,865,868.45,882.9,881.9,879.62,958.2,669.95,"3,95,04,022","34,74,86,90,519.10","2,73,420"
10-Apr-23,EQ,880.05,882.8,864.4,875,867.4,868.45,871.82,958.2,669.95,"3,09,06,205","26,94,45,42,002.85","2,00,100"
06-Apr-23,EQ,882,890.1,872.7,884.6,875,875,879.57,958.2,669.95,"2,60,42,745","22,90,63,29,314.65","2,54,836"
05-Apr-23,EQ,886.6,887.75,874,883.8,885,884.6,881.05,958.2,669.95,"2,10,68,934","18,56,27,12,710.80","1,98,760"
03-Apr-23,EQ,880.2,887.1,868.85,877.25,884.5,883.8,877.16,958.2,669.95,"2,64,16,933","23,17,18,77,331.15","2,27,883"
31-Mar-23,EQ,861.95,881,858.5,851,876.9,877.25,874.98,958.2,669.95,"2,57,39,021","22,52,10,29,030.15","2,79,968"
29-Mar-23,EQ,857.05,862.1,848,854.75,855,851,854.88,958.2,669.95,"3,48,81,515","29,81,94,16,000.65","2,85,499"
28-Mar-23,EQ,855.55,858.9,848.2,848.7,856.9,854.75,853.35,958.2,669.95,"2,44,69,018","20,88,07,09,975.30","2,08,296"
27-Mar-23,EQ,854.95,856.4,844.05,852.4,846.9,848.7,849.34,958.2,669.95,"1,70,47,675","14,47,91,94,037.90","2,18,983"
24-Mar-23,EQ,852.5,860,849.15,855.45,851.45,852.4,854.95,958.2,669.95,"1,72,95,696","14,78,69,27,519.65","1,98,327"
23-Mar-23,EQ,857,867.45,852.8,860.2,854.1,855.45,862.06,958.2,669.95,"1,79,20,621","15,44,86,61,801.95","2,14,120"
22-Mar-23,EQ,857.65,862.55,851,852.4,858.15,860.2,856.36,958.2,669.95,"1,74,31,520","14,92,76,07,314.90","1,56,728"
21-Mar-23,EQ,843,854.5,839.05,836.45,851.75,852.4,846.11,958.2,669.95,"1,87,55,854","15,86,94,62,815.95","2,24,691"
20-Mar-23,EQ,837,837.8,825,836.25,836.85,836.45,830.52,958.2,669.95,"1,48,38,651","12,32,37,76,072.30","2,78,069"
17-Mar-23,EQ,831.8,838.4,818.65,823.9,838,836.25,828.45,958.2,669.95,"1,11,04,490","9,19,95,38,620.00","2,31,625"
16-Mar-23,EQ,829.7,831.3,810.3,825.9,825.55,823.9,821.2,958.2,669.95,"1,49,87,868","12,30,80,61,095.50","4,21,367"
15-Mar-23,EQ,836.45,843.95,822.2,830.35,823.4,825.9,833.09,958.2,669.95,"1,29,14,488","10,75,89,85,936.30","1,91,124"
14-Mar-23,EQ,827,834.45,818.25,828.4,832.5,830.35,825.99,958.2,669.95,"1,54,56,802","12,76,70,98,939.30","2,63,294"
13-Mar-23,EQ,841.45,855.3,823.95,842.65,830,828.4,841.1,958.2,669.95,"1,64,13,159","13,80,51,60,212.15","2,65,017"
10-Mar-23,EQ,844.7,845.35,836.25,855.95,842.15,842.65,842.84,958.2,642.15,"1,72,73,189","14,55,85,64,028.95","2,22,667"
09-Mar-23,EQ,867.2,869.8,854.15,872.1,856.4,855.95,862.74,958.2,642.15,"1,06,24,440","9,16,61,63,272.80","1,74,754"
08-Mar-23,EQ,866.65,873.65,861.5,867.75,872,872.1,866.21,958.2,642.15,"1,61,44,568","13,98,45,06,148.35","2,11,371"
06-Mar-23,EQ,871.75,876.85,865.35,868.55,868.6,867.75,870.34,958.2,642.15,"1,39,04,231","12,10,14,44,323.30","1,88,956"
03-Mar-23,EQ,856.75,873,849.85,854,866.5,868.55,866.99,958.2,642.15,"1,28,23,098","11,11,75,45,319.00","2,00,269"
02-Mar-23,EQ,853,861.85,851.1,856.3,852.1,854,858.06,958.2,642.15,"1,23,27,141","10,57,74,65,279.10","1,86,314"
01-Mar-23,EQ,864,864,851.85,854.85,856.1,856.3,857.22,958.2,642.15,"1,10,15,843","9,44,30,55,261.20","2,17,804"
28-Feb-23,EQ,854.9,858,850,856.4,854.15,854.85,853.72,958.2,642.15,"1,96,00,146","16,73,30,73,110.85","2,08,771"
27-Feb-23,EQ,833.55,858.3,833.55,839.7,857.9,856.4,848.93,958.2,642.15,"1,44,22,574","12,24,37,99,621.55","2,05,067"
24-Feb-23,EQ,843.95,845.6,835.55,839.75,839.95,839.7,840.26,958.2,642.15,"82,46,139","6,92,89,11,922.70","1,74,647"
23-Feb-23,EQ,836.55,844.45,833.55,839.25,840.7,839.75,838.7,958.2,642.15,"1,17,43,574","9,84,93,07,806.70","1,65,727"
22-Feb-23,EQ,851.25,854.1,834.75,854.2,837.45,839.25,844.61,958.2,642.15,"1,38,80,984","11,72,40,69,965.10","1,90,655"
21-Feb-23,EQ,854.4,859.45,846.85,852.1,854.85,854.2,853.57,958.2,642.15,"1,17,04,445","9,99,05,67,240.30","2,33,352"
20-Feb-23,EQ,862.65,866.55,850.25,862.65,853.15,852.1,857.7,958.2,642.15,"90,13,430","7,73,08,21,931.20","1,83,409"
17-Feb-23,EQ,867.55,867.55,855.15,869.45,862,862.65,861.24,958.2,642.15,"99,90,618","8,60,43,55,548.40","1,66,073"
16-Feb-23,EQ,875.95,877.8,864.85,870.8,866.85,869.45,872.17,958.2,642.15,"1,07,15,685","9,34,59,45,594.45","2,94,581"
15-Feb-23,EQ,866.4,873.25,860.6,865.3,872.4,870.8,865.09,958.2,642.15,"1,20,70,288","10,44,18,97,134.05","1,94,686"
14-Feb-23,EQ,853.9,867.3,852.1,850.65,865,865.3,859.91,958.2,642.15,"1,34,02,934","11,52,52,83,230.70","2,37,450"
13-Feb-23,EQ,853.4,859.3,849.35,853.85,849.5,850.65,853.79,958.2,642.15,"93,94,365","8,02,08,54,846.10","1,53,234"
10-Feb-23,EQ,855.55,861.9,852,860.8,855.4,853.85,856.06,958.2,642.15,"86,56,405","7,41,04,35,746.50","2,99,200"
09-Feb-23,EQ,858.5,864.9,851.6,859.1,860.5,860.8,859.62,958.2,642.15,"62,99,265","5,41,49,77,210.15","1,14,269"
08-Feb-23,EQ,852.5,860.7,851.9,852.75,856.55,859.1,857.02,958.2,642.15,"80,82,983","6,92,73,05,066.30","1,51,665"
07-Feb-23,EQ,855,856,847.2,853.7,852.1,852.75,851.64,958.2,642.15,"93,37,066","7,95,17,99,843.00","1,59,808"
06-Feb-23,EQ,861.5,867.8,849.65,863.8,856.3,853.7,855.18,958.2,642.15,"84,63,833","7,23,80,82,471.85","1,72,873"
03-Feb-23,EQ,864.65,872.65,852.1,857.9,862.5,863.8,863.15,958.2,642.15,"1,49,14,366","12,87,33,94,076.30","2,58,409"
02-Feb-23,EQ,828.4,860.6,826.1,847.95,857.05,857.9,846.44,958.2,642.15,"1,67,98,190","14,21,87,22,020.65","2,70,719"
01-Feb-23,EQ,843.45,875.2,823.15,831.9,850.05,847.95,853.18,958.2,642.15,"3,92,37,711","33,47,68,49,764.25","3,79,335"
31-Jan-23,EQ,826,838.3,814.1,823.5,835,831.9,827.51,958.2,642.15,"2,72,91,226","22,58,37,83,062.65","3,50,859"
30-Jan-23,EQ,800,826.25,796,817.2,824.45,823.5,812.34,958.2,642.15,"3,63,01,441","29,48,91,95,521.90","4,48,334"
27-Jan-23,EQ,839.15,843,813.1,855.3,818.25,817.2,823.5,958.2,642.15,"3,97,18,683","32,70,85,02,959.15","5,33,517"
25-Jan-23,EQ,873.3,876.8,848,870.75,856.5,855.3,857.85,958.2,642.15,"1,49,18,485","12,79,77,96,474.70","3,39,880"
24-Jan-23,EQ,879,881.7,868,871.7,871.95,870.75,873.2,958.2,642.15,"1,15,04,090","10,04,54,11,021.55","2,42,240"
23-Jan-23,EQ,882,883.3,864.6,870.35,869.6,871.7,873.36,958.2,642.15,"1,68,82,379","14,74,44,34,016.05","3,30,840"
20-Jan-23,EQ,873.5,876.5,865.55,866.15,871.65,870.35,870.69,958.2,642.15,"81,27,162","7,07,62,27,350.10","1,64,516"
19-Jan-23,EQ,868,870.55,862,869.5,865.1,866.15,865.9,958.2,642.15,"66,94,679","5,79,68,99,732.40","1,47,146"
18-Jan-23,EQ,864.45,872,858.65,865.15,870.25,869.5,866.74,958.2,642.15,"1,13,13,898","9,80,62,32,660.85","2,11,640"
